YEAR,MO,DY,T,T_MAX,T_MIN,HS,HR,PREC,Cos
2023,12,21,27.06,33.7,22.73,17.52,79.12,0.88,1226
2023,12,22,26.55,32.4,22.83,17.27,80,10.44,590
2023,12,26,25.76,31.29,22.25,16.36,80.12,7.62,1663
2023,12,27,25.04,30.14,22.34,16.11,81.94,7.27,629
2023,12,28,25.08,29.5,22.03,16.11,81.56,6.67,812
2023,12,29,25.44,31.01,21.54,16.17,80.44,12.69,1238
2024,1,2,25.64,30.61,22.58,17.21,83.81,17.23,431
2024,1,3,24.69,29.19,22.24,16.85,86.62,20.58,874
2024,1,4,25.05,29.34,22.12,16.91,85.31,7.75,1333
2024,1,5,25.1,28.98,21.96,17.15,85.81,5.11,470
2024,1,6,26.28,32.26,22.12,17.33,81.75,2.97,489
2024,1,8,26.12,31.1,23.24,18.25,86,56.59,1051
2024,1,9,25.87,30.76,23.21,17.76,85.06,26.35,1088
2024,1,10,25.87,30.65,22.88,17.7,84.88,35.86,967
2024,1,11,25.53,30.47,22.67,17.27,84.81,19.7,1270
2024,1,12,25.3,29.3,22.26,17.21,85.31,6.32,648
2024,1,13,26.16,31.39,22.87,18.01,85.12,28.95,513
2024,1,15,26.48,31.65,23.13,18.37,84.81,27.5,455
2024,1,17,26.65,31.86,23.18,18.13,83.19,15.88,533
2024,1,18,26.42,31.73,23.15,18.55,85.69,11.55,581
2024,1,19,26.6,31.97,23.01,18.62,85.38,12.46,466
2024,1,22,26.85,31.94,23.38,19.04,85.88,13.68,884
2024,1,23,26.83,31.52,23.85,19.17,86.38,25.13,1352
2024,1,24,26.87,32.04,24.09,19.17,86.38,25.79,829
2024,1,25,26.32,30.48,23.59,18.92,87.75,40,1060
2024,1,26,26.62,31.5,23.67,18.98,86.69,49.64,840
2024,1,29,26.15,29.36,24.16,19.23,89.88,24.88,682
2024,1,30,25.51,27.71,24.02,19.04,92.25,39.84,722
2024,1,31,25.8,29.19,23.4,17.15,82.75,13.76,724
2024,2,1,25.23,28.34,23.33,18.07,89.25,17.91,610
2024,2,5,26.74,30.65,23.73,19.41,87.81,17.46,923
2024,2,6,26.68,30.65,24.25,19.71,89.38,30.42,758
2024,2,7,27.09,31.72,23.56,19.23,85.88,8.54,681
2024,2,8,26.65,29.89,24.48,20.08,91.06,78.8,655
2024,2,14,27.21,31.87,23.55,19.71,86.94,15.13,855
2024,2,15,27.32,31.27,24.91,20.57,89.69,41.35,1058
2024,2,16,26.86,29.96,25.14,20.39,91.06,38.56,591
2024,2,19,25.61,27.58,23.99,19.78,95.19,156.05,475
2024,2,20,24.93,27.44,23.41,18.62,93.56,24.81,480
2024,2,21,25.44,28.99,22.71,18.01,88.25,9.96,1182
2024,2,22,26.2,30.6,23.33,18.31,85.88,6.79,890
2024,2,26,26.94,31.4,23.69,18.8,84.75,4.09,581
2024,2,27,26.28,30.12,23.86,19.23,89.38,8.04,763
2024,2,28,25.81,29.01,23.8,18.98,90.56,31.96,816
2024,2,29,26.04,30.55,23.57,18.55,87.75,48.86,562
2024,3,1,24.99,28.3,23.18,17.76,89.38,12.79,290
2024,3,4,25.83,29.3,23.36,18.49,88.31,13.1,809
2024,3,5,25.81,29.87,23.26,18.13,86.81,11.7,964
2024,3,6,26.35,31.15,22.87,18.62,86.38,10.32,772
2024,3,11,26.94,31.62,23.59,19.23,86.19,24.8,637
2024,3,12,26.73,31.93,23.58,18.92,86.12,22.08,929
2024,3,13,26.68,31.76,23.16,18.98,86.5,14.99,999
2024,3,14,26.8,32,23.4,19.04,86.12,42.27,510
2024,3,18,26.85,31.75,23.33,18.92,85.5,23.44,999
2024,3,19,26.05,30.66,23.43,18.43,87,38.49,563
